timestamp,temp,rssi,snr,press,lon,lat,alt
1776092387.7667449,13.8,-92.0,6.5,900.1,16.685,49.752,1002.3
1776092388.0504029,13.6,-93.0,6.6,900.2,16.6851,49.752,1001.1
1776092388.1735554,13.9,-95.0,7.0,900.3,16.685,49.752,999.2
1776092388.2796972,14.2,-94.0,6.9,900.5,16.6851,49.752,998.5
1776092388.387053,14.3,-93.0,6.6,900.6,16.6852,49.752,997.5
1776092388.5121987,14.2,-94.0,6.4,900.6,16.6852,49.752,996.9
1776092388.8471947,14.2,-96.0,6.6,900.8,16.6853,49.752,995.5
1776092389.1947823,14.4,-97.0,6.8,900.9,16.6853,49.752,994.9
1776092389.3997006,14.7,-95.0,7.2,901.0,16.6853,49.752,994.2
1776092389.521142,14.7,-93.0,7.5,901.1,16.6854,49.7521,993.2
1776092389.7027671,14.7,-95.0,7.4,901.3,16.6853,49.7522,991.6
1776092389.8092802,14.9,-93.0,7.2,901.4,16.6854,49.7522,991.1
1776092389.920479,14.8,-94.0,6.8,901.4,16.6854,49.7523,989.8
1776092390.042924,14.9,-95.0,6.3,901.6,16.6855,49.7523,988.2
1776092390.1530383,15.0,-96.0,6.3,901.7,16.6855,49.7523,987.4
1776092390.258423,15.2,-94.0,6.1,901.8,16.6855,49.7523,986.1
1776092390.389194,15.1,-93.0,6.2,902.0,16.6856,49.7524,985.5
1776092390.5298207,15.1,-93.0,5.8,902.1,16.6857,49.7524,984.5
1776092390.6329813,15.3,-91.0,5.6,902.2,16.6857,49.7523,983.3
1776092390.7366047,15.4,-93.0,5.9,902.3,16.6857,49.7524,982.3
1776092390.8457227,15.6,-91.0,5.5,902.5,16.6857,49.7525,981.8
1776092390.9542887,15.8,-91.0,5.4,902.7,16.6858,49.7526,981.0
1776092391.062677,15.7,-89.0,5.6,902.7,16.6857,49.7527,979.4
1776092391.1748307,15.7,-87.0,5.5,902.8,16.6857,49.7527,977.7
1776092391.2813687,15.6,-88.0,5.0,903.0,16.6858,49.7526,976.7
1776092391.387274,15.8,-87.0,4.8,903.1,16.6857,49.7527,974.7
1776092391.4938626,15.7,-89.0,5.2,903.2,16.6858,49.7527,974.0
1776092391.6081116,15.8,-89.0,4.9,903.4,16.6858,49.7527,973.1
1776092391.7114778,15.7,-91.0,5.2,903.6,16.6858,49.7528,972.3
1776092391.8181257,15.6,-93.0,5.2,903.6,16.6858,49.7527,971.3
1776092391.919742,15.7,-94.0,5.2,903.8,16.6859,49.7527,970.1
1776092392.0230708,15.6,-96.0,5.3,903.9,16.6859,49.7527,968.9
1776092392.1271574,15.9,-97.0,5.1,904.1,16.6859,49.7527,967.2
1776092392.2292325,16.1,-95.0,4.9,904.2,16.686,49.7528,965.7
1776092392.3340368,16.3,-95.0,5.3,904.3,16.686,49.7527,964.8
1776092392.441143,16.3,-97.0,5.4,904.4,16.686,49.7527,963.3
1776092392.5466743,16.2,-98.0,5.4,904.6,16.686,49.7528,961.9
1776092392.6525483,16.1,-98.0,5.0,904.8,16.686,49.7528,960.7
1776092392.7574868,16.4,-96.0,5.5,904.9,16.6861,49.7529,960.1
1776092392.8683689,16.7,-94.0,5.8,904.9,16.6862,49.7529,958.1
